company_name,contact_name,city,state,phone,email,website,facebook_or_social,services_notes,source,directory_url,directory_status
Wisconsin Ag and Thermal Drone Services,,Montello,WI,,,,facebook.com/p/Wisconsin-Ag-and-Thermal-Drone-Services-61556348000799,Ag spraying & seeding with DJI T40; spongy moth canopy spraying for oak; thermal deer recovery,Facebook,https://agdronedirectory.com/operators/wisconsin-ag-and-thermal-drone-services,new
Aerial Ag Technologies,Kirk & Jacob Babcock,Battle Creek,MI,,,,,Drone crop spraying; DJI Agras; vineyards (5-10 ac/hr) tree fruit row crops; $150/hour,Good Fruit Grower,https://agdronedirectory.com/operators/aerial-ag-technologies,new
Ag Drone West,Timothy King,Choteau,MT,,,,,DJI T40 fully-autonomous drone spraying & cover-crop spreading; ~20 farmers,KRTV,https://agdronedirectory.com/operators/ag-drone-west,new
Airfield Ag,Hadley,Cache Valley,UT,,,,,Drone crop dusting for farmers across N Utah and E Idaho; ~20000 acres as of July 2024,East Idaho News,https://agdronedirectory.com/operators/airfield-ag,new
All American Aerial Applicators,Chris Podoll,Columbia,SD,,,,,Drone spraying & cover-crop seeding; 4-drone fleet (60L tanks); DJI/EAVision dealer,Aberdeen Insider,https://agdronedirectory.com/operators/all-american-aerial-applicators,new
Barker Research and Consulting LLC,Daniel Barker,Ames,IA,,,,,sUAV spray ops; Iowa commercial pesticide cert #53274,44807 petition FAA-2026-3041,https://agdronedirectory.com/operators/barker-research-and-consulting-llc,new
Cahoon Aerial Systems,David Cahoon,Helena area,MT,,,,,Weed-spraying drone service for ranchers/rangeland; near Gates of the Mountains,KTVH news,https://agdronedirectory.com/operators/cahoon-aerial-systems,existing
Carbon County Weed & Pest District,Reese Irvine,Rawlins,WY,,,,,Purchased spray drone; herbicide drone application beginning summer 2025,Carbon County WY weed list,https://agdronedirectory.com/operators/carbon-county-weed-pest-district,new
Crop Innovations LLC,Levi Taylor,Ypsilanti,ND,,,,,Commercial ag UAS spraying over 55 lb under FAA Exemption 22003 terms; 4828 95th Ave SE,44807 petition FAA-2026-3787,https://agdronedirectory.com/operators/crop-innovations-llc,new
Empire Drone Co (Volatus Drones),Sean Falconer/John McGraw,Fulton,NY,,,,,FAA Part 137 (Jan 2020) drone crop spraying ~24 ac/hr; founded 2018,DroneLife/GovTech,https://agdronedirectory.com/operators/empire-drone-co-volatus-drones,new
Farmers Choice MT,James Gelormino,Sidney,MT,,,,,Drone spraying pastures/cropland; ~7500 acres in 2024; DJI T-40 ~400 ac/day; municipal mosquito,Minot Daily News,https://agdronedirectory.com/operators/farmers-choice-mt,new
Field Fly Drone Applications LLC,Kevin Nisly (filer),Omaha,AR,,,,,UAS ag spray; Exemption 23639,44807 grant FAA-2025-0397,https://agdronedirectory.com/operators/field-fly-drone-applications-llc,new
G.S. Long Company,Jeff Allen,Union Gap,WA,,,,,Ag drone services incl spraying + beneficial insect release; Yakima/Wenatchee/Hood River,Basin Business Journal,https://agdronedirectory.com/operators/g-s-long-company,existing
Hall Ag Services,Avery & Chase Hall,Paynesville,MO,,,,,Custom drone fungicide/aerial application across NE Missouri; four DJI drones two crews,Farm Progress/Missouri Ruralist,https://agdronedirectory.com/operators/hall-ag-services,existing
Hein Ranch Co. (FlyingAg),Martin Hein,Visalia,CA,,,,,Drone spraying almonds walnuts pistachios grapes citrus avocados; beneficial insect & pheromone release,Fruit Growers News,https://agdronedirectory.com/operators/hein-ranch-co-flyingag,new
Hipoint Drones LLC,Kevin Nisly (filer),Copeland,KS,,,,,UAS ag spray; Exemption 25059,44807 grant FAA-2025-4114,https://agdronedirectory.com/operators/hipoint-drones-llc,new
Hubele Agridrone,Brenden Hubele,Weiser,ID,,,,,Drone crop dusting (pesticide/herbicide) in Treasure Valley,BoiseDev,https://agdronedirectory.com/operators/hubele-agridrone,existing
Infinity Precision Ag,Andy Kreikemeier,Plymouth,NE,,,,,Custom drone application SE Nebraska; Hylio drones swarm; fungicide/insecticide,AgWeb article,https://agdronedirectory.com/operators/infinity-precision-ag,existing
Jacob Krause (drone applicator),Jacob Krause,Waseca,MN,,,,,Commercial ag UAS ops; individual operator,44807 petition FAA-2026-3936,https://agdronedirectory.com/operators/jacob-krause-drone-applicator,new
John Dieball,John Dieball,Henderson,MN,,,,,DJI T-20 custom drone fungicide spray + cover-crop seeding,AgWeek/Brownfield,https://agdronedirectory.com/operators/john-dieball,new
L&R Ag LLC,,,IL,,,,facebook.com/LnRAgllc,Precision aerial drone crop protection/nutrient mgmt/custom applications/cover crop seeding; S & central IL,Facebook,https://agdronedirectory.com/operators/l-r-ag-llc,existing
M&L Land and Wildlife LLC,Jake Fletcher,Bruington,VA,,,,,Drone spraying + land/wildlife management; VA Dept of Forestry consultant,ssentinel VA,https://agdronedirectory.com/operators/m-l-land-and-wildlife-llc,new
Old Dominion Aerial,Connor Bradley,Mechanicsville,VA,,,,,Drone fungicide/fertilizer spraying; 3 drones (75 ac/hr); works with M&L Land and Wildlife,ssentinel VA,https://agdronedirectory.com/operators/old-dominion-aerial,new
On Point Application Group LLC,Thelen,Battle Creek,MI,,,,,Field-border insecticide spot spraying water hemp broadcast fungicide; XAG P140; first 2 licensed MI applicators (2021),AgWeb,https://agdronedirectory.com/operators/on-point-application-group-llc,new
Palmetto Ag Spray,Zane Clardy & Legette Flowers,Providence,SC,,,,,Drone spraying forestry & specialty applications; corn/peanuts/cotton; founded 2023,Agri Spray Drones blog,https://agdronedirectory.com/operators/palmetto-ag-spray,new
Poynter Aerial Ag,Noah Poynter,Bainbridge,IN,,,,,Custom fungicide spraying; two DJI Agras T40 ~500 ac/day at 40+ ac/hr,Farm Progress/AgriNews,https://agdronedirectory.com/operators/poynter-aerial-ag,new
R&D Drone Spraying LLC,Derek Brown,Mount Solon,VA,,,,,FAA Part 137 ag aircraft operator; DJI Agras T40 fungicide/herbicide/insecticide; 44807 petition,regulations.gov,https://agdronedirectory.com/operators/r-d-drone-spraying-llc,new
Republic Drone Applications LLC,Kelly J. Neubecker,Palmer,TX,,,,,UAS ag spray; Exemption 23636,44807 grant FAA-2025-0292,https://agdronedirectory.com/operators/republic-drone-applications-llc,new
RiehlWay Ag,Matthew Riehl/Ephraim Riehl/David Stoltzfus,New Holland,PA,,,,,Custom drone spraying (DJI T50) + cover crop interseeding; ~10000 ac in 2025; FAA Part 107 & 137,American Agriculturist,https://agdronedirectory.com/operators/riehlway-ag,new
Skytech,Josh & Dustin LeBeouf,Kaplan,LA,,,,,Drone rice spraying/aerial application; treated 400-500 ac rice for SW Louisiana growers,Farm Progress,https://agdronedirectory.com/operators/skytech,new
SkyView Ag Services,Taylor Newsome,Moultrie,GA,,,,,Part 107 + 44807 + Part 137; pesticide/fertilizer spraying aquatic mgmt crop mapping; DJI Smart Farm,MzeroA article,https://agdronedirectory.com/operators/skyview-ag-services,new
SoLa Drones,Bruce & Jack Bosworth,Scott,LA,,,,,Ag spray drone service founded 2023; sugarcane/rice/soybeans; DMR Field Ranger X50,The Advocate,https://agdronedirectory.com/operators/sola-drones-la,existing
Southern Ag Drone Solutions,Hunter Burks & Jacob Tribble,Halls,TN,,,,,Launched 2023; DJI Agras T30; fungicides insecticides herbicides foliar feed; fertilizer spreading,Subagent/Farm Progress,https://agdronedirectory.com/operators/southern-ag-drone-solutions,new
Southern Drone Applications LLC,Dustin Dill,Winnfield,LA,,,,,UAS agricultural spray 55lb+; Exemption 24920,44807 grant FAA-2025-2643,https://agdronedirectory.com/operators/southern-drone-applications-llc,new
Strubbe Drone Spraying LLC,Isaac Strubbe,Cass County,IL,,,,,Precision chemical application; DJI dealer; FAA 107/137 + IL aerial license,DroneXL | Journal-Courier/DroneXL,https://agdronedirectory.com/operators/strubbe-drone-spraying-llc,existing
Sublime Pest Pros,Jay Franklin,Finger Lakes region,NY,,,,,NYSDEC certified pesticide applicator Cat 11 12+ yrs; aerial drone pesticide application,Google/flythefarmdrones,https://agdronedirectory.com/operators/sublime-pest-pros,new
SweetWater Technologies,Chad Gripp,Wyanet,IL,,,,,Drone spray applications; ~200000 ac by 2025; 25 drones DJI T-40 + EAVision J100; franchising,Farm Progress | Farm Progress 2025,https://agdronedirectory.com/operators/sweetwater-technologies,new
T&C Grains LLC,Justin Kruitoff,Kent City,MI,,,,,Commercial ag UAS spraying over 55 lb under FAA Exemption 22003 terms; 3980 18 Mile Rd,44807 petition FAA-2026-3905,https://agdronedirectory.com/operators/t-c-grains-llc,new
Thrive Spray Drone Service,Silas Steiner,Wenona,IL,,,,,DJI XAG P150 (18.5-gal liquid/150-lb dry hopper; up to 55 acres/hr); herbicide/fungicide/insecticide/fertilizer + cover crop spreading,Shaw Local | Shaw Local Aug 2025,https://agdronedirectory.com/operators/thrive-spray-drone-service,new
Western Wings Drone Service,Jake Masters,Dayton,WY,,,,,Drone crop spraying; contracts with Simplot in Big Horn Basin,Sheridan Press,https://agdronedirectory.com/operators/western-wings-drone-service-llc,existing
Bill Micke Drone Service,Bill Micke,,KY,,,,,Graves County KY; RTK-guided drone spraying corn fungicide; multispectral prescription zones,Kentucky New Era,https://agdronedirectory.com/operators/bill-micke-drone-service,new
Biosphere Drone Solutions,Jorden Kuntz,,IA,,,,,Drones in row-crop agriculture; spray and mapping,UMN Extension 2025,https://agdronedirectory.com/operators/biosphere-drone-solutions,new
Clark Ag LLC,Wade Clark,,ID,,,,,Drone spraying potatoes/grain/alfalfa/corn; spreads seed/bugs/compost; E Idaho; $300 min/$10-20/ac,Ag Proud article,https://agdronedirectory.com/operators/clark-ag-llc,existing
Ference Agronomy LLC,Brad,,NE,,,,,Drone application fertilizer/pesticides/cover crop; cedar & invasive species on pasture; 3500+ acres,NE PSC grant record,https://agdronedirectory.com/operators/ference-agronomy,existing
Midwest Drone Applicators,Jarrod Lindemann,,ND,,,,,Unmanned (drone) aerial applicator,ND Aeronautics 2025 list,https://agdronedirectory.com/operators/midwest-drone-applicators,new
Nick Herbig Precision Drone Application,Nick Herbig,,NE,,,,,Custom drone spraying expanding from ground-rig business; NE PSC grant recipient,NE PSC grant doc,https://agdronedirectory.com/operators/nick-herbig-precision-drone-application,new
Spinks Aerial Spraying Solutions,Ronny & Trey Spinks,,KY,,,,,Drone fungicide/aerial spraying; UK corn fungicide research trials,Subagent/UK Extension,https://agdronedirectory.com/operators/spinks-aerial-spraying-solutions,new
West Ky Aerial Spraying,Clay Harper & Mike Wicker,,KY,,,,,Ballard County KY; cover crop interseeding row-crop crop protection waterfowl millet,KyFoodandFarm,https://agdronedirectory.com/operators/west-ky-aerial-spraying,new
3D Drone Service LLC,,Nicollet,MN,,,,,UAS 55lb+ ag spray and dry spreading,44807 petition FAA-2026-3107,https://agdronedirectory.com/operators/3d-drone-service-llc,new
4 R Generation LLC,,Hampstead,MD,,,,,VLOS and limited BVLOS ag spray plus granular,44807 petition FAA-2026-2475,https://agdronedirectory.com/operators/4-r-generation-llc,new
Ag Flyers LLC,,Powell,WY,,,,,Aerial and drone spraying service working with chemical suppliers,Google Maps WY,https://agdronedirectory.com/operators/ag-flyers-llc,new
Allen Aerial LLC,,DeKalb,IL,,,,,VLOS and limited BVLOS ag spray; 14580 IL Rt 38,44807 petition FAA-2026-1818,https://agdronedirectory.com/operators/allen-aerial-llc,new
Drone Dusters LLC,Garrett D. Kriete,,,,,,,UAS ag spray; Exemption 25017,44807 grant FAA-2025-4148,https://agdronedirectory.com/operators/drone-dusters-llc,new
DroneOculuar LLC,,Kenedy,TX,,,,,UAS ag spray; Exemption 23453,44807 grant FAA-2024-1591,https://agdronedirectory.com/operators/droneoculuar-llc,new
Ewe Graze LLC,,Buena Vista,VA,,,,,UAS 55lb+ ag spray + granular; vegetation/noxious weed control,44807 petition FAA-2026-0959,https://agdronedirectory.com/operators/ewe-graze-llc,new
Falken Drone Services LLC,,Benson,AZ,,,,,VLOS and limited BVLOS ag spray,44807 petition FAA-2026-0039,https://agdronedirectory.com/operators/falken-drone-services-llc,new
FieldWing Precision,,North Ogden,UT,,,,,Drone pesticide/fungicide spraying + aerial cover crop seeding (orchards pasture rangeland),Subagent,https://agdronedirectory.com/operators/fieldwing-precision,existing
G Five Cattle Company LLC,Lucheo Tombini,,,,,,,UAS ag spray; Exemption 25200,44807 grant FAA-2025-5338,https://agdronedirectory.com/operators/g-five-cattle-company-llc,new
Geerdes Spraying LLC,,Everly,IA,,,,,Commercial agricultural UAS spraying under 14 CFR Part 137; petition via NuWay Ag (AFS-26-02014-E),44807 petition FAA-2026-2737,https://agdronedirectory.com/operators/geerdes-spraying-llc,new
Gillette Farms,,Lubbock,TX,,,,,Part 137 ag UAS pesticide application; DJI Agras T40,44807 docket FAA-2023-0731,https://agdronedirectory.com/operators/gillette-farms,new
Green Creek Drones,,Effingham,IL,,,,,Spray drone custom aerial application + sales/training/parts,Effingham County Chamber,https://agdronedirectory.com/operators/green-creek-drones,existing
Ian Parker,Ian Parker,,,,,,,UAS ag spray 55lb+,44807 grant FAA-2025-2280,https://agdronedirectory.com/operators/ian-parker,new
Insight Ag Services LLC,,Morris,MN,,,,,Over-55lb UAS ag spraying VLOS and limited BVLOS; modeled on Drone Crop Services Exemption 20365B; 26312 500th Ave,44807 petition FAA-2026-1948,https://agdronedirectory.com/operators/insight-ag-services-llc,new
Lostine Drone Recovery LLC,,St. Louis,MO,,,,,Commercial agricultural UAS operations under Part 137,44807 petition FAA-2026-2462,https://agdronedirectory.com/operators/lostine-drone-recovery-llc,new
Mid Coast Drone Solutions LLC,,Victoria,TX,,,,,VLOS and limited BVLOS ag aircraft ops; 4190 FM 1685,44807 petition FAA-2026-3847,https://agdronedirectory.com/operators/mid-coast-drone-solutions-llc,new
Olsen Farms Drone Services LLC,,Minden,IA,,,,,Commercial ag UAS ops under Part 137; 32738 Tamarack Rd,44807 petition FAA-2026-2464,https://agdronedirectory.com/operators/olsen-farms-drone-services-llc,new
Pyka Inc,,Oakland,CA,,,,,Pelican fixed-wing UAS ag spray BVLOS; Exemption 20445A,Fed Register FAA-2021-0649,https://agdronedirectory.com/operators/pyka-inc,new
Rensing Ag Solutions LLC,,Damiansville,IL,,,,,Ag UAS spraying modeled on Veteran Drone Services Exemption 20257A; 6500 Albers Rd PO Box 269,44807 petition FAA-2024-2203,https://agdronedirectory.com/operators/rensing-ag-solutions-llc,new
Rotor Technologies Inc,,Nashua,NH,,,,,Large rotor-wing UAS ag spray (R550),Fed Register FAA-2025-1174,https://agdronedirectory.com/operators/rotor-technologies,existing
S&S Airways-Drone LLC,,Comfrey,MN,,,,,Agricultural aerial application with spray drones,44807 grant FAA-2025-4459,https://agdronedirectory.com/operators/s-s-airways-drone-llc,new
Top Drone LLC,Steven William Bare,,,,,,,UAS ag spray; Exemption 25421,44807 grant FAA-2025-5642,https://agdronedirectory.com/operators/top-drone-llc,new
Triple B Drone Services LLC,,Montevideo,MN,,,,,UAS 55lb+ spray herbicides/fungicides/pesticides + granular fertilizer/lime/seed,44807 petition FAA-2026-3730,https://agdronedirectory.com/operators/triple-b-drone-services-llc,new
Zap Drone Services LLC,Jose Aguilar,,,,,,,sub-55lb UAS ag spray,44807 grant FAA-2025-2030,https://agdronedirectory.com/operators/zap-drone-services-llc,new
American Upland Ag,,,MO,,,,,American-made ag drones; crop spraying pesticides/herbicides/fungicides + granular spreading,Missouri Grown listing,https://agdronedirectory.com/operators/american-upland-ag,new
Arc Drone Solutions LLC,,,MN,,,,,UAS ag spray; Exemption 24298,44807 grant FAA-2025-1142,https://agdronedirectory.com/operators/arc-drone-solutions,existing
Country Partners Cooperative (drone),,,NE,,,,,Co-op drone spraying; DJI T40 fleet; NE PSC Precision Ag Grant recipient,NE PSC drone business plan,https://agdronedirectory.com/operators/country-partners-cooperative-drone,new
Lytle Drone Applications LLC,,,ND,,,,,Unmanned (drone) aerial applicator,ND Aeronautics 2025 list,https://agdronedirectory.com/operators/lytle-drone-applications-llc,new
Mintzmyer Agronomy Services LLC,,,NE,,,,,XAG scouting & application drones,Nebraska PSC Precision Ag grant,https://agdronedirectory.com/operators/mintzmyer-agronomy-services-llc,new
Precision Drone Applications of Wisconsin LLC,,,WI,,,,,UAS ag spray,44807 grant FAA-2025-2082,https://agdronedirectory.com/operators/precision-drone-applications-of-wisconsin-llc,new
Stekel Drone Services,,,WI,,,,,New WI drone application startup announced via Patriot/ASD dealer network,Google Maps WI,https://agdronedirectory.com/operators/stekel-drone-services,new
Twisted J Agricultural Drones,,,TX,,,,,Agricultural drone services,TX chamber listing,https://agdronedirectory.com/operators/twisted-j-agricultural-drones,existing
Walters Ag LLC,,,NE,,,,,DJI spray drone custom application,Nebraska PSC Precision Ag grant,https://agdronedirectory.com/operators/walters-ag-llc,new
Ziegler Ag Inc,,,NE,,,,,Drone integration (application),Nebraska PSC Precision Ag grant,https://agdronedirectory.com/operators/ziegler-ag-inc,existing
Aerial Crop Solutions LLC,,,,,,,,UAS ag spray; replaces Exemption 20596,44807 grant FAA-2023-0514,https://agdronedirectory.com/operators/aerial-crop-solutions-llc,new
Aerovision Drone LLC,,,,,,,,UAS ag spray; Exemption 24304,44807 grant FAA-2025-1128,https://agdronedirectory.com/operators/aerovision-drone,existing
Ag Drone Ops LLC,,,,,,,,UAS ag spray; Exemption 24533,44807 grant FAA-2025-1565,https://agdronedirectory.com/operators/ag-drone-ops-llc,new
Ag Pro Drone Service LLC,,,,,,,,UAS ag spray; Exemption 21365A,44807 grant FAA-2023-1870,https://agdronedirectory.com/operators/ag-pro-drone-service-llc,new
AgriCon Drone LLC,,,,,,,,Agricultural spray-drone Part 137 operation,44807 petition FAA-2025-2399,https://agdronedirectory.com/operators/agricon-drone-llc,new
Agronomics Drone Service LLC,,,,,,,,Agricultural spray-drone Part 137 operation,44807 petition FAA-2025-2059,https://agdronedirectory.com/operators/agronomics-drone-service-llc,new
Ashley's Spraying,,,,,,,,Commercial agricultural UAS spraying under 14 CFR Part 137,44807 petition FAA-2026-3012,https://agdronedirectory.com/operators/ashley-s-spraying,new
Booker Aviation Drone Services LLC,,,,,,,,Commercial agricultural UAS application (sub-55lb),44807 petition FAA-2024-0175,https://agdronedirectory.com/operators/booker-aviation-drone-services-llc,new
Brooks Drone Service LLC,,,,,,,,UAS ag spray,44807 FAA-2025-1970,https://agdronedirectory.com/operators/brooks-drone-service-llc,new
Coastal Spray,,,,,,,,Hylio AG-110/AG-122 custom spray applicator,Hylio case study,https://agdronedirectory.com/operators/coastal-spray,new
Drone Ag Services LLC,,,,,,,,UAS commercial ag operations (petition),44807 FAA-2025-1711,https://agdronedirectory.com/operators/drone-ag-services-llc,new
Drone Dogs LLC,,,,,,,,UAS ag spray,44807 grant FAA-2025-1040,https://agdronedirectory.com/operators/drone-dogs-llc,new
Drone Power1 LLC,,,,,,,,UAS agricultural (petition),Fed Register FAA-2024-2463,https://agdronedirectory.com/operators/drone-power1-llc,new
Drone-X Spray LLC,,,,,,,,UAS commercial ag operations (petition),44807 petition FAA-2025-2020,https://agdronedirectory.com/operators/drone-x-spray-llc,new
E. Trapp Spray Drones LLC,,,,,,,,Heavy 55lb+ ag spray-drone application,44807 petition FAA-2025-4247,https://agdronedirectory.com/operators/e-trapp-spray-drones-llc,new
Elevated Agriculture LLC,,,,,,,,Wide array of ag UAS application services; multi-drone single control point,44807 amendment FAA-2024-0100,https://agdronedirectory.com/operators/elevated-agriculture-llc,new
Flying Pig UAS LLC,,,,,,,,UAS ag spray,44807 grant FAA-2025-2639,https://agdronedirectory.com/operators/flying-pig-uas-llc,new
Galaxy Unmanned Systems LLC,,,,,,,,UAS agricultural (petition),Fed Register FAA-2024-11377,https://agdronedirectory.com/operators/galaxy-unmanned-systems-llc,new
Hilltop Elderberries LLC,,,,,,,,Commercial ag drone application (sub-55lb),44807 petition FAA-2024-0175,https://agdronedirectory.com/operators/hilltop-elderberries-llc,new
J.D Drones LLC,,,,,,,,UAS ag spray,44807 grant FAA-2025-0057,https://agdronedirectory.com/operators/j-d-drones-llc,new
Klemp Seed,,,,,,,,sub-55lb UAS agricultural,44807 grant FAA-2025-0443,https://agdronedirectory.com/operators/klemp-seed,new
L&M Road Services LLC,,,,,,,,UAS ag from moving vehicle; amend Exemption 21546B,Fed Register FAA-2020-0470,https://agdronedirectory.com/operators/l-m-road-services-llc,new
Mayes Drone Operations LLC,,,,,,,,UAS ag spray; Exemption 23646,44807 grant FAA-2025-0417,https://agdronedirectory.com/operators/mayes-drone-operations-llc,new
Monday Consulting & Contractor LLC (BluSky Ag),,,,,,,,UAS ag spray (petition),44807 petition FAA-2025-4942,https://agdronedirectory.com/operators/monday-consulting-contractor-llc-blusky-ag,new
Precision Drone Spraying,,,,,,,,UAS ag spray,44807 grant FAA-2025-1176,https://agdronedirectory.com/operators/precision-drone-spraying,new
SkyDrone Specialists LLC,,,,,,,,UAS ag spray,44807 FAA-2025-2525,https://agdronedirectory.com/operators/skydrone-specialists-llc,new
Specialty Drone Services,,,,,,,,UAS ag spray,44807 FAA-2025-2152,https://agdronedirectory.com/operators/specialty-drone-services,new
Top Gun Sprayer Drones LLC,,,,,,,,UAS ag spray,44807 grant FAA-2023-1230,https://agdronedirectory.com/operators/top-gun-sprayer-drones-llc,new
Veteran Drone Services LLC,,,,,,,,Foundational UAS ag exemption holder (Exemption 20257B),44807 grant FAA-2023-0901,https://agdronedirectory.com/operators/veteran-drone-services-llc,new
